period_close,capital_used,ending_cash,ending_exposure,ending_value,gross_leverage,long_exposure,long_value,longs_count,net_leverage,orders,period_close,period_open,pnl,portfolio_value,positions,returns,short_exposure,short_value,shorts_count,starting_cash,starting_exposure,starting_value,transactions
2018-02-02 23:59:00+00:00,0.0,0.3,0.0,0.0,0.0,0,0,0,0.0,[],2018-02-02 23:59:00+00:00,2018-02-02 00:00:00+00:00,0.0,0.3,[],0.0,0,0,0,0.3,0.0,0.0,[]
2018-02-03 07:16:00+00:00,0.0,0.3,0.0,0.0,0.0,0,0,0,0.0,[],2018-02-03 07:16:00+00:00,2018-02-02 00:00:00+00:00,0.0,0.3,[],0.0,0,0,0,0.3,0.0,0.0,[]
