,sma_f,sma_s,rsi,sma_r,macd,macdSignal,macdHist,stoch_k,stoch_d,sma_test,macd_test,stoch_over_bought,stoch_over_sold,rsi_over_bought,rsi_over_sold,price,high,low,next_10_high,next_10_low,next_50_high,next_50_low,next_100_high,next_100_low
2018-01-10 01:40:00+00:00,14152.959999999997,14139.839322032998,28.26005871918592,45.27299706254598,-22.617261965195212,-3.5273502393239986,-19.089911725871215,26.222081402907087,27.579611745605163,1,0,0,0,0,0,14032.0,14073.0,13999.0,14179.0,14151.0,14228.0,14217.0,14271.0,14246.7874247
2018-01-10 01:41:00+00:00,14155.299999999997,14135.899322032998,36.414019393549104,43.93851914482711,-26.55799564926565,-8.133479321312329,-18.42451632795332,27.167121039191162,26.947482476086435,1,0,0,0,0,0,14071.0,14072.0,14032.0,14179.0,14136.0,14226.0,14208.0,14271.0,14249.0
2018-01-10 01:42:00+00:00,14156.079999999998,14132.129322032999,34.466858331600264,42.562540655056154,-30.778707274685075,-12.662524911986878,-18.116182362698197,29.476787420713833,27.62199662093741,1,0,0,0,0,0,14053.0,14072.0,14041.0,14135.0,14100.0,14221.0,14208.0,14290.0,14269.0
2018-01-10 01:43:00+00:00,14156.459999999997,14129.409322032998,42.87380960080439,42.200570325302145,-30.065262453863397,-16.14307242036218,-13.922190033501217,34.8072778258311,30.48372876191208,1,0,0,0,0,0,14099.0,14115.0,14041.0,14097.0,14070.0,14216.0,14205.0,14269.0,14250.0
2018-01-10 01:44:00+00:00,14157.459999999997,14126.579322032998,40.90803813000953,41.93221045786899,-30.440024916708353,-19.002462919631416,-11.437561997076937,39.53877451135077,34.60761325263195,1,0,0,0,0,0,14083.0,14105.0,14083.0,14108.0,14080.0,14226.0,14206.0,14272.0,14245.0
2018-01-10 01:45:00+00:00,14158.679999999998,14123.719322033,37.23129126536169,41.35710035432883,-32.93945391276429,-21.789861118257992,-11.149592794506301,40.48999580991891,38.278682715700306,1,0,0,0,0,0,14051.0,14090.0,14051.0,14166.0,14114.0,14220.0,14177.0,14272.0,14255.0
2018-01-10 01:46:00+00:00,14159.179999999998,14121.129322032999,37.79574858152619,41.04490899996486,-34.283001372206854,-24.288489169047764,-9.99451220315909,41.05004741676855,40.35960591267946,1,0,0,0,0,0,14054.0,14059.0,14031.0,14158.0,14118.9653339,14227.0,14177.0,14284.0,14257.0
2018-01-10 01:47:00+00:00,14160.519999999997,14118.609322032999,39.92884273059909,40.76736416273089,-34.0674559188119,-26.244282519000592,-7.82317339981131,40.79834673649644,40.77946332106135,1,0,0,0,0,0,14065.0,14073.0,14048.0,14148.0,14098.0,14206.0,14166.0,14271.0,14263.0
2018-01-10 01:48:00+00:00,14162.079999999998,14116.919322032998,50.13978725864292,41.10148738369093,-28.64425129385745,-26.724276273971963,-1.919975019885488,43.011626414564844,41.62000685594332,1,0,0,0,0,0,14126.0,14126.0,14064.0,14188.0,14148.0,14181.0,14118.0,14268.0,14248.0
2018-01-10 01:49:00+00:00,14163.639999999998,14115.139322033,53.09566869495194,41.27683397269263,-22.39365791198179,-25.858152601573927,3.4644946895921365,44.15284874856887,42.654273966543435,1,1,0,0,0,0,14147.0,14159.0,14096.0,14181.0,14111.0,14167.0,14120.0,14260.0,14243.0
2018-01-10 01:50:00+00:00,14166.199999999997,14113.579322032998,56.895938757747864,41.65506592283709,-14.927880670775266,-23.672098215414195,8.744217544638929,47.01013149715597,44.72486888676328,1,1,0,0,0,0,14176.0,14179.0,14151.0,14172.0,14124.0,14235.0,14168.0,14252.0,14241.0
2018-01-10 01:51:00+00:00,14168.219999999998,14111.770919072998,51.335506556670296,41.81046037258959,-11.780301571017844,-21.293738886534925,9.51343731551708,50.29837858619104,47.15378627730535,1,1,0,0,0,0,14140.0,14179.0,14136.0,14184.0,14152.0,14208.0,14171.0,14237.0,14203.0
2018-01-10 01:52:00+00:00,14169.219999999998,14109.330919072998,45.96077476390247,41.83914609042419,-12.370884309713801,-19.5091679711707,7.138283661456899,51.5250866607252,49.61119891469079,1,1,0,0,0,0,14100.0,14135.0,14100.0,14179.0,14127.0,14176.0,14101.0,14217.0,14202.0
2018-01-10 01:53:00+00:00,14169.259999999998,14106.840919072998,43.741408860611486,42.08262183629934,-14.128510280947012,-18.433036433125963,4.304526152178951,51.93006097114149,51.25117540601929,1,1,0,0,0,0,14082.0,14097.0,14070.0,14222.0,14162.0,14120.0,14088.0,14244.0,14193.0
2018-01-10 01:54:00+00:00,14168.719999999998,14105.070919072998,47.67202828624704,43.11465199542735,-13.270484927572397,-17.40052613201525,4.130041204442854,53.21760744451458,52.22425169212715,1,1,0,0,0,0,14108.0,14108.0,14080.0,14213.0,14188.0,14145.0,14099.0,14256.0,14232.0
2018-01-10 01:55:00+00:00,14169.679999999998,14104.170919072998,54.28653717513603,44.84975055915735,-8.458408255524773,-15.612102556717156,7.153694301192383,56.204395018458115,53.78402114470478,1,1,0,0,0,0,14158.0,14166.0,14114.0,14225.0,14209.0,14194.0,14135.0,14239.0,14211.0
2018-01-10 01:56:00+00:00,14169.619999999997,14102.840919072998,49.31844670240682,45.7100457130812,-7.5434375494423875,-13.998369555262203,6.454932005819815,57.68937149407831,55.70379131901706,1,1,0,0,0,0,14121.0,14158.0,14118.9653339,14220.0,14185.0,14210.0,14164.0,14250.0,14218.0
2018-01-10 01:57:00+00:00,14169.219999999998,14102.090919072998,52.6010781572412,46.91899370145726,-4.666540984284438,-12.13200384106665,7.465462856782212,58.088047755627706,57.32727142272143,1,1,0,0,0,0,14147.0,14148.0,14098.0,14222.0,14200.0,14215.0,14164.0,14250.0,14240.0
